Domain;Rank;Organic Keywords;Organic Traffic;Organic Cost;Adwords Keywords;Adwords Traffic;Adwords Cost
mailchimp.com;2786;318392;920226;5258077;5878;93897;832998
klaviyo.com;12671;77801;180371;2690989;2532;65624;823209
hubspot.com;1599;873693;1669423;14830371;7364;107143;1518581
activecampaign.com;25649;43688;84347;836780;756;13026;190603
brevo.com;37842;31994;55106;430934;1133;49069;682701
constantcontact.com;5393;260286;446500;2152893;3876;146524;1436074
kit.com;26060;41006;82960;241526;437;13334;50426
getresponse.com;61605;43692;32325;176030;530;7632;46455
customer.io;230153;10560;7346;42743;755;98220;612778
omnisend.com;43749;53757;47041;234434;258;2955;41278
beehiiv.com;16780;99356;133584;218443;367;5356;16814
mailerlite.com;31845;37099;66636;393666;1748;37234;221688
kajabi.com;29357;18782;72818;255608;439;85051;1011727
campaignmonitor.com;26654;46461;81057;772008;139;1205;10727
drip.com;151021;14428;11926;83037;5;155;842
aweber.com;84257;14069;22836;80304;40;654;3464
substack.com;319;20860670;8472222;4678188;6;34;182
keap.com;62949;24405;31542;204246;5;856;2499
benchmarkemail.com;91998;15575;20754;115505;48;5569;18494
flodesk.com;32534;24777;65132;220951;356;9662;48624
moosend.com;77452;38871;25091;143666;3;113;1209
sendpulse.com;267627;25929;6135;16927;48;1310;24239
ghost.org;34497;26487;61041;121238;0;0;0
ontraport.com;339394;4090;4601;25026;82;651;4623
zoho.com;2482;444806;1043589;9758828;21015;471095;5762670
mailjet.com;108957;15601;17212;101428;613;7049;40785
systeme.io;52120;17529;38870;210102;162;5345;31149
sender.net;150177;26671;12004;106010;8;148;886
emailoctopus.com;276407;5466;5902;28463;42;3902;25592
icontact.com;84279;11773;22830;62052;328;3329;19609
kartra.com;111894;6408;16708;182123;70;1664;13807
marigold.com;20922446;4;0;0;0;0;0
meetmarigold.com;875215;984;1323;3943;0;0;0
sailthru.com;2995886;111;158;1130;0;0;0
